Names,Redshift,Re,Re_err,Rgas,Rgas_err,Mstar,Mstar_err,Mbar,Mbar_err,Mstar_Re,Mstar_Re_err,Mstar_Ropt,Mstar_Ropt_err,Mstar_Rout,Mstar_Rout_err,Mbar_Re,Mbar_Re_err,Mbar_Ropt,Mbar_Ropt_err,Mbar_Rout,Mbar_Rout_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,PSF
COS4_04519_K,2.2285,2.442066731,0.067600463,3.652143988,1.520452206,40738027780,4073802778,1.30314E+11,98404196608,13186449908,11561748050,20749256684,18535350125,24386599617,21898972166,20732963558,13982059389,40247395341,23891874366,57771475810,31228596602,203.8797926,24.32075767,183.2267149,30.07297947,183.2267149,30.07297947,3.293494564
COS4_05656_YJ,0.79798,2.384789229,0.023153293,2.99988076,1.243092032,47863009232,4786300923,1.01043E+11,71547341345,15492727755,13818189974,24378250945,21883650158,28651756264,25766581893,20760104360,15669068293,37471037038,25032036709,50290301602,30069156078,220.4178469,30.72562276,200.4263474,24.8618263,204.7358697,24.76599428,3.26530898
COS4_06487_YJ,0.9068795,4.00614663,0.0321134,4.727710495,1.972592296,75857757503,7585775750,1.25696E+11,90764922417,24554318751,21935073922,38636923966,34698997196,45409973454,40842828320,28843448068,24579940981,49468927522,38765831842,63657434408,45787100145,271.7369067,45.64863603,253.4706505,16.51623582,253.4706505,16.51623582,3.396714584
COS4_07901_YJ,0.87844,5.513158982,0.111376949,7.53250546,3.159368175,6606934480,660693448,27536391796,21947523021,2138591761,1888609698,3365135400,3012231415,3955043350,3553764757,3372046432,2184651085,6679645027,3566871043,9891063896,4469149692,72.39718528,16.98086715,68.14843109,16.46792565,68.14843109,16.46792565,4.944659212
COS4_10344_H,1.5148,2.370942994,0.086847729,9.807513924,6.320122906,9120108394,912010839.4,1.73291E+11,1.64424E+11,2952078415,2565899145,4645179955,4139311855,5459479606,4898960725,4107495731,2986394667,8394299856,4879795920,13664878584,6361930288,109.4206568,15.31040312,118.9614159,10.05006345,118.9614159,10.05006345,3.529491694
COS4_11696_H,1.51704,1.363559044,0.034740358,7.950579518,4.393757275,17782794100,1778279410,80707371719,65389068157,5756094156,5057624739,9057379050,8095863339,10645136827,9560971444,6025347651,5757726373,9948817961,9069391508,12641181729,10697781032,177.9658488,25.33904696,189.5976457,21.10667412,190.7327991,24.26680022,3.840199151
COS4_12056_H,1.5999,5.718108623,0.182492828,4.047392778,1.681647462,5128613840,512861384,57136690586,52260336076,1660075688,1449574922,2612176652,2330745382,3070090997,2755959542,8939191350,2642256757,19375633272,5431007208,28875758457,7980996090,123.784751,10.09521876,123.6423362,9.897869544,123.6423362,9.897869544,3.290345696
COS4_12476_H,1.51431,1.936688609,0.043423511,3.569140324,1.490999487,11220184543,1122018454,1.05435E+11,94880628062,3631849883,3200522739,5714819833,5112411693,6716627264,6034069084,6681393233,3742615874,14563710747,6215239162,23860757183,7972696925,158.9296376,23.72212061,184.8391331,21.11030562,184.8391331,21.11030562,4.145555788
COS4_13038_H,1.49815,3.030053801,0.069456821,4.818541224,2.006977948,20417379447,2041737945,57267691163,42128551566,6608880351,5821198748,10399262557,9301788288,12222252400,10979752533,8358098381,6896078043,15241833875,11989056867,21157311963,17046845360,122.5541154,19.13486444,119.2356034,21.58256438,119.2356034,21.58256438,3.895225324
COS4_13701_K,2.16639,4.082716026,0.101855701,5.176410756,2.152557516,43651583224,4365158322,81974218675,58086875504,14129535644,12421325336,22233229106,19875868710,26130712279,23470417175,18318734759,14323491402,32534221112,23072728071,42942302404,28253282487,173.7463498,18.59172364,125.8599128,13.9770562,125.8599128,13.9770562,3.525225821
COS4_15820_K,2.09069,4.146208592,0.068250347,9.579875838,4.178634899,25703957828,2570395783,57781107470,41105194042,8320087417,7373730648,13091895897,11730842266,15386904135,13829943308,9399435929,8344934965,16225380593,13236402477,21447827269,15881474322,191.6309659,17.97422816,191.6309659,17.97422816,191.6309659,17.97422816,2.828806265
COS4_16172_YJ,1.03041,7.151529606,0.041434123,9.020381183,3.755631555,54954087386,5495408739,1.0851E+11,76734653547,17788031478,15923527995,27989977108,25152151839,32896617716,29593280028,22887568062,17898519702,40733178103,28411666101,54078685756,33851805602,244.0238289,31.85160031,234.8288339,60.17091743,234.8288339,60.17091743,3.957704547
