Names,Redshift,Re,Re_err,Rgas,Rgas_err,Mstar,Mstar_err,Mbar,Mbar_err,Mstar_Re,Mstar_Re_err,Mstar_Ropt,Mstar_Ropt_err,Mstar_Rout,Mstar_Rout_err,Mbar_Re,Mbar_Re_err,Mbar_Ropt,Mbar_Ropt_err,Mbar_Rout,Mbar_Rout_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,PSF
C-HiZ_z1_245,0.833362054003167,3.4952984,1.0485896,17.727100179862212,7.505464376535571,7962153419.22227,3669195124.065562,30800692415.430546,24186664725.682182,2577261171.917972,962567687.1521655,4055394285.2154174,1985093934.2095141,4766304558.775679,2498488177.792975,2709904981.075983,2577418963.9678936,4489174937.134406,4057521611.1359267,5724002136.901799,4777121577.3738985,119.88856465480625,21.671285367679864,158.32356107704854,27.52554534877316,189.23366697971016,21.235201573230665,4.265967355380659
C-HiZ_z1_258,0.837600692549843,4.6041574,1.3812473,19.07991964914128,8.095464199915511,10691297668.4087,4926865284.980968,34971472820.10912,26529808729.649223,3460655039.8395042,1292501816.936068,5445439843.111771,2665513847.6210966,6400024984.841559,3354881454.745525,3653959289.3868074,3460869612.4432583,6068220437.569133,5448217601.089927,7752040069.682663,6413529430.125932,136.19095043847818,25.11485607423285,147.82256131504175,29.14813957285208,166.1382457429277,23.318485451218883,4.272830151497656
C-HiZ_z1_267,0.839406416427833,4.431997,1.3295991,12.19233411922718,5.130343852284632,2254395961.09858,1038892147.971696,16608734478.943848,14530290273.573818,729723087.5558281,272540438.7808548,1148240182.7601206,562057467.6014692,1349526589.2175193,707419384.4917494,960428770.1838216,730763077.7642525,1860280959.4239619,1159802225.4564002,2823466262.0096827,1396458601.2500792,91.1532710038235,9.64105222741918,89.70315756257924,7.93751543429812,89.70315756257924,7.93751543429812,4.275731279769638
C-HiZ_z1_275,0.850856040719295,2.456358,0.7369074,7.979484820766549,3.3177224398011855,8260952881.6871,3806890728.888065,31750051538.618137,24899419636.37896,2673979259.6329646,998690452.7746884,4207582966.9330916,2059589502.8100955,4945171903.465069,2592250120.972821,2998414297.4921784,2674973610.936564,5219244820.08834,4219445702.251016,7062489427.08395,4997602505.373248,131.43214810768728,21.137647207039365,133.41872647811573,22.52036253968496,131.08419289589665,19.77334278938584,6.810973441494304
C-HiZ_z1_277,0.838362986672631,4.153598,1.2460794,15.031353776344217,6.359772176753824,10691297668.4087,4926865284.980968,34126639056.69316,25758863946.609917,3460655039.8395042,1292501853.2524874,5445439843.111771,2665513865.608157,6400024984.841558,3354881461.1600676,3683050827.606443,3460880947.9763155,6155615962.842153,5448290985.963662,7926595359.883591,6413524019.911598,65.93706768911888,18.238375905791703,83.56992497638944,25.695048463660807,90.49048446256228,30.6862027729899,5.6449687077493
C-HiZ_z1_285,0.833803935874193,1.5820578,0.4746174,19.344903899091822,8.167862299519815,4886864121.89403,2252011116.0801983,23807706251.501045,19541742702.20972,1581823972.8199973,590787081.4819865,2489045335.990161,1218374446.9938173,2925374771.863661,1533476130.3835683,1600558118.0408626,1581828094.7917953,2553507057.4353313,2489108518.245883,3076307364.3109417,2925747845.050849,105.7800099432954,26.732453745752835,104.65154026789082,22.757624899804384,129.94388986785526,26.428566690977966,4.266686283907754
C-HiZ_z1_289,0.842692496949874,3.7175689,1.1152707,9.809000520453552,4.070152814616236,11298745023.8063,5206794941.846221,36761441495.47134,27856965928.132423,3657279043.5004897,1365937900.6234426,5754833345.59081,2816960332.096183,6763655142.012105,3545495725.2840147,4153916621.824494,3658875755.136345,7263749596.916223,5772625334.804231,9833449772.31408,6836746827.606458,96.35709473898996,23.89868511595982,97.61934721735426,22.77156247450648,112.4580339109086,28.156179974828103,5.654108266989913
C-HiZ_z1_297,0.840623489072706,3.7084405,1.1125323,6.657541362902495,2.7702623570704814,22337271401.4147,10293673456.873133,54489846123.53734,39150245911.38782,7230328183.63893,2700417076.5766935,11377128525.294266,5569043866.4857235,13371538188.920242,7009335976.622839,8507733608.107866,7236431931.566063,14993343760.651373,11434500105.922998,20197083793.888245,13569204578.39913,164.35343270485086,27.35576544185776,160.22561410471042,31.631746703927902,160.22561410471042,31.631746703927902,5.649753260123663
C-HiZ_z1_314,0.834880298504295,1.7687768,0.53063303,6.2145401799303635,2.5900015785717354,10023757306.4554,4619242998.366545,36785705016.87148,28577570851.87197,3244579593.2904778,1211800982.0150476,5105438938.019881,2499085234.8505945,6000421949.981228,3145410278.7619166,3602609538.1363893,3245864274.408966,6225532033.935422,5121096367.773312,8352490051.594208,6071214604.866012,231.2961428748696,34.94238814797113,208.06185601980488,30.933989545472592,186.56709971915143,29.334539002615475,5.78342251360224
C-HiZ_z1_317,0.853780219124342,3.9519444,1.1855834,12.153843508705984,5.08980101372188,19634975526.5671,9048375818.694515,51638839554.56871,37547031529.15959,6355624838.126265,2373728822.5441375,10000757753.367014,4895317736.791555,11753889737.641731,6161367616.984573,6872454290.479055,6356880878.04276,11595206588.557547,10015531519.035933,15051306316.488977,11818303834.261251,142.79315133064316,24.44349128674048,159.36799072471476,26.42481210398381,159.36799072471476,26.42481210398381,5.8239581513724135
