Names,Re,Re_err,Mstar,Mstar_err,SFR_tot,SFR_tot_err,MH2,MH2_err,MHI,MHI_err,Mgas,Mgas_err,Mbar,Mbar_err
COS4_04519,2.4420667311447084,0.06760046314587427,40738027780.41122,4073802778.041122,453.7839,45.378389999999996,68225224149.49017,6796393209.882357,8353049494.060845,922457592.2984263,79334779976.5911,6906241178.78148,120072807757.00232,89182925615.67868
COS4_05656,2.384789228633021,0.02315329348187399,47863009232.2638,4786300923.22638,124.72648,12.472648,51158760956.06168,4390936677.656133,6927585046.106028,666830173.7792438,60372449067.3827,4479608059.778188,108235458299.6465,77043495891.35664
COS4_06487,4.0061466298125,0.032113399838176356,75857757502.91852,7585775750.291852,30.913342,3.0913342,63249759756.687,5403510410.160459,8290628728.282732,791251664.1141033,74276295965.30302,5505033718.557225,150134053468.22156,106166696829.5467
COS4_07901,5.513158982155697,0.11137694913445853,6606934480.075964,660693448.0075965,8.843771,0.8843771000000001,8257405351.405655,663114610.379079,1221594387.244613,111269593.23020002,9882125886.44099,679427406.0500941,16489060366.516954,11887303952.515213
COS4_08775,3.6338636038034555,0.0849033552290527,22387211385.683376,2238721138.568338,26.915344,2.6915344,34308457763.422935,3349831884.344745,4326380615.772832,469818191.6386123,40062543982.4008,3407612275.0513372,62449755368.08418,45893296503.618805
COS4_10344,2.3709429935177986,0.08684772870028566,9120108393.559114,912010839.3559114,137.07594,13.707593999999999,15827405160.66348,1501395936.4909782,2171212668.562043,231351968.32920355,18715118009.850998,1532601673.5790117,27835226403.41011,20819030218.358315
COS4_11696,1.363559043680238,0.0347403578007704,17782794100.38923,1778279410.0389228,40.399155,4.0399155,24439703436.683918,2317494663.865948,3248691592.051873,344714598.76255554,28760463254.112907,2362409075.4395475,46543257354.50214,33814080094.06757
COS4_12056,5.718108623307474,0.18249282840343,5128613839.913659,512861383.9913659,9.332543,0.9332543,8062460374.068301,741580267.4759272,1129614289.7861278,117017279.63609591,9564847379.48385,757735387.9618769,14693461219.39751,10853063406.788565
COS4_12476,1.9366886091621873,0.04342351141619253,11220184543.019653,1122018454.3019652,56.83476,5.683476000000001,17387306375.514942,1625605293.0131516,2361962210.946188,247753486.1662866,20528716116.07337,1658665372.1712036,31748900659.093025,23394886760.866096
COS4_13038,3.030053801427689,0.0694568206630989,20417379446.695316,2041737944.6695316,15.488168,1.5488168,25693638064.563477,2424168669.023506,3398565947.704134,358597348.3608335,30213730775.009975,2470639639.388176,50631110221.70529,36465585293.74129
COS4_13701,4.0827160260498605,0.10185570127359321,43651583224.016655,4365158322.401666,82.74938,8.274937999999999,65609976769.272644,6513519265.06779,8036634187.345387,884524830.812746,76298700238.44202,6618904183.164259,119950283462.45868,87903085133.79314
COS4_15820,4.146208591880015,0.06825034719144056,25703957827.68865,2570395782.7688646,38.15338,3.8153379999999997,39128894029.45195,3783921477.6762934,4924857508.308482,529576568.00404096,45678954515.50223,3848915707.9605093,71382912343.19087,52414314205.53853
COS4_16172,7.151529605546435,0.04143412285948108,54954087385.76248,5495408738.576248,96.15455,9.615454999999999,61399486830.3043,5397389060.516492,8071417656.674094,792914376.9457761,72134472313.68085,5499449014.790404,127088559699.44333,90682599303.1475
COS4_16986,0.754384022709346,0.03210144777486579,1318256738.5564048,131825673.85564049,9.332543,0.9332543,2250517678.227835,162366592.70160255,361810406.60070837,29956065.977702346,2731725519.0067773,167183315.39460912,4049982257.563182,3033170806.2590566
COS4_17162,1.9545527390568604,0.04343450531237467,9549925860.214369,954992586.0214369,113.22691,11.322690999999999,16482057198.57668,1552846464.0259354,2232282625.0987606,235869465.97794703,19450993089.95803,1584217106.2730796,29000918950.1724,21668922818.66328
COS4_17519,3.4023546265670315,0.052076856529087216,23988329190.194946,2398832919.0194945,114.06194,11.406194000000001,36615746469.21136,3490318465.036127,4735828531.958392,503533909.73673797,42914398416.71602,3553986664.4720263,66902727606.910965,49163864054.8706
