Names,Re,Re_err,Mstar,Mstar_err,SFR_tot,SFR_tot_err,MH2,MH2_err,MHI,MHI_err,Mgas,Mgas_err,Mbar,Mbar_err
C-HiZ_z1_245,3.4952984,1.0485896,7962153419.22227,3669195124.065562,13.087707195288148,0.6543853597644074,9866093426.949791,2717178583.4333544,1453130575.4357383,416721160.437638,11798757092.279324,2773128284.5057435,19760910511.501595,14233992974.34998
C-HiZ_z1_258,4.6041574,1.3812473,10691297668.4087,4926865284.980968,9.053877507363111,0.4526938753681556,11835529831.398752,3188705858.081586,1716475034.0648499,481235254.0916783,14118441626.705002,3252306865.5600243,24809739295.1137,17709721618.399254
C-HiZ_z1_267,4.431997,1.3295991,2254395961.09858,1038892147.971696,4.936622663510457,0.2468311331755228,3169940252.665164,695176686.9689734,498742888.3048527,114212547.4478052,3833268294.110618,711579266.6729823,6087664255.209198,4447049242.36862
C-HiZ_z1_275,2.456358,0.7369074,8260952881.6871,3806890728.888065,15.474694167771585,0.7737347083885789,10307255782.05165,2897303351.445566,1512225000.1271498,442553541.8862292,12318515032.220758,2956486463.618315,20579467913.90786,14832031388.602953
C-HiZ_z1_277,4.153598,1.2460794,10691297668.4087,4926865284.980968,5.330859076137712,0.2665429538068856,10781365968.452892,2704294051.2314734,1563457709.5635808,408091859.030164,12860764722.172455,2758223539.0616617,23552062390.581154,16724327043.967924
C-HiZ_z1_285,1.5820578,0.4746174,4886864121.89403,2252011116.0801983,8.318634285185079,0.4159317142592539,6104893238.503997,1523154260.3664472,922149084.2606393,239824475.30405772,7331351520.570647,1556193613.3610504,12218215642.464676,8810797697.372732
C-HiZ_z1_289,3.7175689,1.1152707,11298745023.8063,5206794941.846221,13.122845953400638,0.656142297670032,12987498350.908363,3633706713.7948403,1877235109.1967494,546483626.5103428,15484221046.140041,3705684347.019582,26782966069.946342,19168274322.91999
C-HiZ_z1_297,3.7084405,1.1125323,22337271401.4147,10293673456.873133,16.991881287908335,0.8495940643954166,22697344300.006252,6501144290.645091,3172852471.881057,944324251.6133039,26917238087.60806,6621351119.056695,49254509489.02276,34978441931.072876
C-HiZ_z1_314,1.7687768,0.53063303,10023757306.4554,4619242998.366545,30.082615378693877,1.504130768934694,12964538558.873287,3810219767.9844294,1886923022.5004044,577169412.8292601,15474146178.798824,3886777413.6696,25497903485.254227,18437052652.242233
C-HiZ_z1_317,3.9519444,1.1855834,19634975526.5671,9048375818.694515,23.78170893132925,1.1890854465664624,21753478229.244713,6476144138.018008,3055685886.2091646,945443383.2936082,25817540457.9029,6597090077.827427,45452515984.47,32435746626.589966
C-HiZ_z1_319,7.07452,2.1223562,13584088880.6634,6259948792.932444,5.157280991807532,0.2578640495903766,13232678376.830667,3391841277.858294,1895706262.4498487,505402047.5947738,15753967705.888966,3457805598.4139266,29338056586.55237,20801802066.070034
C-HiZ_z1_340,2.2292604,0.6687782,17101354746.6145,7880808638.992858,10.394740896859652,0.5197370448429827,16737152198.056898,4477972976.697262,2371760288.5432043,659720661.4113849,19891593381.81936,4563126419.131895,36992948128.43386,26232266799.44366
C-HiZ_z1_90,2.5611658,0.76834977,3673080745.07809,1692663937.824005,12.426829250175471,0.6213414625087736,5339764858.870948,1421048667.4853308,816801073.0515732,226706027.44468957,6426110286.02954,1452684767.1376705,10099191031.10763,7401784620.487013
C-zcos_z1_1015,7.291261,2.1873784,28643778433.9351,13199897895.822628,9.852477811785189,0.4926238905892592,26576701730.533707,7600244539.43849,3652209983.789164,1084553981.3233066,31434141008.973297,7735916149.0522785,60077919442.9084,42527300219.32244
C-zcos_z1_1021,3.6876013,1.1062804,7603789464.20346,3504050444.333392,11.303667669088298,0.5651833834544149,9532524475.770428,2748048210.3221226,1392598174.1055093,417892536.44434375,11384680047.330755,2803690309.7762995,18988469511.534214,13690454849.858809
C-zcos_z1_156,2.1255233,0.63765705,6808171857.36773,3137406385.8837466,14.498310418154508,0.7249155209077254,8771413589.93674,2455103690.7214756,1297167382.1966393,378126680.42245734,10496646208.25827,2506082815.160116,17304818065.626,12511226385.162914
C-zcos_z1_162,5.1750646,1.5525194,39176927126.7577,18053883468.551933,26.738354870484056,1.3369177435242028,39249066507.223656,12394464754.989386,5276001410.79123,1728655862.9925933,46266148383.57599,12605898378.15925,85443075510.33368,60624979219.34782
C-zcos_z1_166,2.7665849,0.8299755,6745752739.6155,3108641815.4910145,13.902490784911638,0.6951245392455818,8834549075.154266,2560284751.766587,1299076459.6554961,391992088.47270703,10562320766.496077,2612826685.410634,17308073506.111576,12532669308.586432
