KID,Name,File_names,Redshift,PSF,INC,Re,Re_err,Rgas,Rgas_err,SFR,SFR_err,Mstar,Mstar_err,Mgas,Mgas_err,Mbar,Mbar_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err
KROSS,C-HiZ_z1_245,C-HiZ_z1_245,0.833362054003167,0.544938027858734,61.5276364390461,3.4952984,1.0485896,17.727100179862212,7.505464376535571,13.087707195288148,0.6543853597644074,7962153419.22227,3669195124.065562,3994179192.355865,814676790.2554562,11956332611.578136,8907825463.70782,119.88856465480625,21.671285367679864,158.32356107704854,27.52554534877316,189.23366697971016,21.235201573230665
KROSS,C-HiZ_z1_258,C-HiZ_z1_258,0.837600692549843,0.544938027858734,50.5938354956762,4.6041574,1.3812473,19.07991964914128,8.095464199915511,9.053877507363111,0.4526938753681556,10691297668.4087,4926865284.980968,3572022443.3128414,728571208.0695182,14263320111.721542,11272230931.366337,136.19095043847818,25.11485607423285,147.82256131504175,29.14813957285208,166.1382457429277,23.318485451218883
KROSS,C-HiZ_z1_267,C-HiZ_z1_267,0.839406416427833,0.544938027858734,31.0983058801545,4.431997,1.3295991,12.19233411922718,5.130343852284632,4.936622663510457,0.2468311331755228,2254395961.09858,1038892147.971696,1770264716.9727435,361073651.9005113,4024660678.0713234,2866380700.042508,91.1532710038235,9.64105222741918,89.70315756257924,7.93751543429812,89.70315756257924,7.93751543429812
KROSS,C-HiZ_z1_275,C-HiZ_z1_275,0.850856040719295,0.864396035671234,63.7515587259345,2.456358,0.7369074,7.979484820766549,3.3177224398011855,15.474694167771585,0.7737347083885789,8260952881.6871,3806890728.888065,4421269145.657243,901788638.9204528,12682222027.344343,9369683205.519552,131.43214810768728,21.137647207039365,133.41872647811573,22.52036253968496,131.08419289589665,19.77334278938584
KROSS,C-HiZ_z1_277,C-HiZ_z1_277,0.838362986672631,0.719727993011475,36.7080244458851,4.153598,1.2460794,15.031353776344217,6.359772176753824,5.330859076137712,0.2665429538068856,10691297668.4087,4926865284.980968,2727188488.8215604,556253787.3371145,13418486157.23026,11033648666.152197,65.93706768911888,18.238375905791703,83.56992497638944,25.695048463660807,90.49048446256228,30.6862027729899
KROSS,C-HiZ_z1_285,C-HiZ_z1_285,0.833803935874193,0.544938027858734,71.3147182776239,1.5820578,0.4746174,19.344903899091822,8.167862299519815,8.318634285185079,0.4159317142592539,4886864121.89403,2252011116.0801983,2801723431.9671903,571456269.3294708,7688587553.861219,5633036049.510878,105.7800099432954,26.732453745752835,104.65154026789082,22.757624899804384,129.94388986785526,26.428566690977966
KROSS,C-HiZ_z1_289,C-HiZ_z1_289,0.842692496949874,0.719727993011475,46.2917739054202,3.7175689,1.1152707,9.809000520453552,4.070152814616236,13.122845953400638,0.656142297670032,11298745023.8063,5206794941.846221,4385090169.828161,894409408.2819215,15683835193.63446,12119845498.623783,96.35709473898996,23.89868511595982,97.61934721735426,22.77156247450648,112.4580339109086,28.156179974828103
KROSS,C-HiZ_z1_297,C-HiZ_z1_297,0.840623489072706,0.719727993011475,36.1190977595172,3.7084405,1.1125323,6.657541362902495,2.7702623570704814,16.991881287908335,0.8495940643954166,22337271401.4147,10293673456.873133,5938093505.713326,1211169432.595048,28275364907.128025,23113083916.75706,164.35343270485086,27.35576544185776,160.22561410471042,31.631746703927902,160.22561410471042,31.631746703927902
KROSS,C-HiZ_z1_314,C-HiZ_z1_314,0.834880298504295,0.738352000713348,42.3759501838744,1.7687768,0.53063303,6.2145401799303635,2.5900015785717354,30.082615378693877,1.504130768934694,10023757306.4554,4619242998.366545,6476650194.29871,1321016558.3964474,16500407500.75411,11934098553.222507,231.2961428748696,34.94238814797113,208.06185601980488,30.933989545472592,186.56709971915143,29.334539002615475
KROSS,C-HiZ_z1_317,C-HiZ_z1_317,0.853780219124342,0.738352000713348,68.8397213445915,3.9519444,1.1855834,12.153843508705984,5.08980101372188,23.78170893132925,1.1890854465664624,19634975526.5671,9048375818.694515,6849036635.091467,1396970883.2872033,26484012161.65857,20795229423.06033,142.79315133064316,24.44349128674048,159.36799072471476,26.42481210398381,159.36799072471476,26.42481210398381
KROSS,C-HiZ_z1_319,C-HiZ_z1_319,0.840024327278409,0.719727993011475,73.8672125870908,7.07452,2.1223562,47.9500708240747,20.560226454783404,5.157280991807532,0.2578640495903766,13584088880.6634,6259948792.932444,2850479405.141186,581400968.2032691,16434568285.804586,13879938888.802685,170.055942479536,37.31419896121147,167.64188016534143,52.76560526443829,167.64188016534143,52.76560526443829
KROSS,C-HiZ_z1_340,C-HiZ_z1_340,0.835543867100698,0.738352000713348,46.7583235970958,2.2292604,0.6687782,5.561938432141413,2.3111883121226775,10.394740896859652,0.5197370448429827,17101354746.6145,7880808638.992858,4313376368.845748,879782280.6677781,21414731115.460247,17636937088.646408,173.0594207985065,21.54794039235428,195.2268598624192,20.890756305075183,172.89389514727344,44.92448077701045
KROSS,C-HiZ_z1_90,C-HiZ_z1_90,0.854808919275469,0.540224015712738,63.3914876376286,2.5611658,0.76834977,11.30884390899622,4.752891048999999,12.426829250175471,0.6213414625087736,3673080745.07809,1692663937.824005,3230518376.196282,658915792.1785904,6903599121.274372,4891602103.48361,67.39871731038758,24.22652735180157,81.81633824527336,21.84877451383903,81.81633824527336,21.84877451383903
