Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),Re,Re_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,Mgas,Mgas_err,Mbar,Mbar_err,VRout,VRout_err,Rgas,Rgas_err
C-HiZ_z1_245,0.02800919,1.24802258,0.030159451,3.4952984,1.0485896,7962153419,3669195124,9866093427,2717178583,1453130575,416721160.4,11798757092,2773128285,19760910512,14233992974,186.2669941,21.9872943,17.70200992,1.069265738
C-HiZ_z1_258,0.030054364,1.280049413,0.032105263,4.6041574,1.3812473,10691297668,4926865285,11835529831,3188705858,1716475034,481235254.1,14118441627,3252306866,24809739295,17709721618,162.7288572,23.85124467,19.05677529,1.0741898
C-HiZ_z1_267,0.024783954,1.085589497,0.026074984,4.431997,1.3295991,2254395961,1038892148,3169940253,695176687,498742888.3,114212547.4,3833268294,711579266.7,6087664255,4447049242,50.9380043,9.70683814,12.17837933,1.060302899
C-HiZ_z1_275,0.01343797,0.901605797,0.013917123,2.456358,0.7369074,8260952882,3806890729,10307255782,2897303351,1512225000,442553541.9,12318515032,2956486464,20579467914,14832031389,131.4556873,19.96907863,7.972706878,1.031995045
C-HiZ_z1_277,0.028639842,1.177547238,0.029958344,4.153598,1.2460794,10691297668,4926865285,10781365968,2704294051,1563457710,408091859,12860764722,2758223539,23552062391,16724327044,80.21019194,30.02924386,15.05037213,1.06979261
C-HiZ_z1_285,0.026703166,1.286573422,0.028111125,1.5820578,0.4746174,4886864122,2252011116,6104893239,1523154260,922149084.3,239824475.3,7331351521,1556193613,12218215642,8810797697,126.7095915,25.68619573,19.34520881,1.065142507
C-HiZ_z1_289,0.010397865,0.991760857,0.01044263,3.7175689,1.1152707,11298745024,5206794942,12987498351,3633706714,1877235109,546483626.5,15484221046,3705684347,26782966070,19168274323,109.373709,28.03542158,9.812074954,1.024283668
C-HiZ_z1_297,0.01490278,0.823432279,0.01524013,3.7084405,1.1125323,22337271401,10293673457,22697344300,6501144291,3172852472,944324251.6,26917238088,6621351119,49254509489,34978441931,160.2256141,31.6317467,6.659356714,1.035312571
C-HiZ_z1_314,0.017277683,0.792955644,0.017939814,1.7687768,0.53063303,10023757306,4619242998,12964538559,3810219768,1886923023,577169412.8,15474146179,3886777414,25497903485,18437052652,188.1766835,29.07355719,6.208056258,1.041379142
C-HiZ_z1_317,0.021496251,1.084484253,0.022599518,3.9519444,1.1855834,19634975527,9048375819,21753478229,6476144138,3055685886,945443383.3,25817540458,6597090078,45452515984,32435746627,159.3679907,26.4248121,12.14742575,1.052078716
C-HiZ_z1_319,0.066592496,1.67984577,0.056586725,7.07452,2.1223562,13584088881,6259948793,13232678377,3391841278,1895706262,505402047.6,15753967706,3457805598,29338056587,20801802066,167.6418802,52.76560526,47.84601476,1.152440268
C-HiZ_z1_340,0.012011733,0.74491454,0.012199927,2.2292604,0.6687782,17101354747,7880808639,16737152198,4477972977,2371760289,659720661.4,19891593382,4563126419,36992948128,26232266799,175.6777099,41.89532972,5.557948778,1.028266863
C-HiZ_z1_90,0.024753846,1.053204577,0.025479177,2.5611658,0.76834977,3673080745,1692663938,5339764859,1421048667,816801073.1,226706027.4,6426110286,1452684767,10099191031,7401784620,85.85355529,20.76148861,11.30328237,1.059538307
C-zcos_z1_1015,0.022079321,1.488951743,0.023211777,7.291261,2.1873784,28643778434,13199897896,26576701731,7600244539,3652209984,1084553981,31434141009,7735916149,60077919443,42527300219,230.1617833,45.69071916,30.82845375,1.053527601
C-zcos_z1_1021,0.015215279,0.882415498,0.015474121,3.6876013,1.1062804,7603789464,3504050444,9532524476,2748048210,1392598174,417892536.4,11384680047,2803690310,18988469512,13690454850,87.59266849,21.27522805,7.628084551,1.035964132
C-zcos_z1_156,0.018586911,1.047229283,0.0191759,2.1255233,0.63765705,6808171857,3137406386,8771413590,2455103691,1297167382,378126680.4,10496646208,2506082815,17304818066,12511226385,112.9093009,24.23584886,11.14882974,1.044435212
C-zcos_z1_162,0.010225099,1.001905197,0.010517997,5.1750646,1.5525194,39176927127,18053883469,39249066507,12394464755,5276001411,1728655863,46266148384,12605898378,85443075510,60624979219,113.3224884,43.70243536,10.04396515,1.024168873
C-zcos_z1_166,0.032763365,1.036373999,0.035534542,2.7665849,0.8299755,6745752740,3108641815,8834549075,2560284752,1299076460,391992088.5,10562320766,2612826685,17308073506,12532669309,83.39316961,24.61168247,10.87361617,1.08181043
C-zcos_z1_189,0.037822001,1.189067047,0.040920021,4.3405485,1.3021647,14758078400,6800957788,17988030356,5600979436,2539500470,821965816.5,21365565981,5706670541,36123644381,25967061593,124.4015007,42.37038391,15.45493016,1.09489828
C-zcos_z1_192,0.010483517,0.936395573,0.010730779,3.5357754,1.0607326,9750575921,4493352959,12956051553,3973958892,1871798692,597359256.6,15445543814,4052599185,25196119735,18265775497,128.9859803,31.1433257,8.637649413,1.024724609
C-zcos_z1_197,0.017750649,0.835854711,0.018360522,3.6033008,1.0809903,3990529605,1838953735,5133145268,1247737213,783362336.7,198572303.8,6175017176,1275381346,10165546781,7352221681,94.73390666,25.30279503,6.852589422,1.042451102
C-zcos_z1_198,0.037370254,1.400416806,0.040558628,5.584179,1.6752537,14224277281,6554966489,16829727984,5177907929,2374989500,759550933.2,19988464019,5275532210,34212741299,24533013634,76.13587961,16.26302875,25.14298324,1.093874169
C-zcos_z1_2,0.013363228,0.955014906,0.013253025,6.1939964,1.858199,17580451641,8101590618,18206866868,5229622340,2559447912,764070515.3,21610932591,5327442189,39191384232,27858655519,224.4377224,40.01265173,9.016020812,1.031117434
C-zcos_z1_200,0.022637477,1.025416383,0.023764316,3.176221,0.9528663,4416009703,2035027513,6647123081,1974938347,995479803,308192229.6,7971111219,2017026508,12387120922,9112615199,70.03801402,16.32216308,10.60269779,1.054875637
C-zcos_z1_202,0.015707585,1.154422029,0.01601267,3.161079,0.9483237,18924743322,8721079872,23535095314,7363409743,3316569290,1078564038,27946132470,7501837448,46870875792,33751033019,160.3010374,30.74582852,14.26993612,1.037194379
C-zcos_z1_354,0.013531866,0.944370519,0.013768853,2.0538583,0.6161575,3443735870,1586975055,5117511175,1348130807,787001585,216276237.3,6164223283,1378476585,9607959153,7060946497,88.65721079,19.02845042,8.797727753,1.031930327
C-zcos_z1_356,0.011531333,1.060385301,0.011592642,2.4829235,0.7448771,15453621506,7121484565,20119039971,6543887363,2824394512,954734579.8,23875484672,6665946761,39329106178,28440344337,75.63826884,18.49099981,11.49172703,1.026980006
C-zcos_z1_460,0.031961127,1.472366231,0.033770937,5.50943,1.652829,16789212762,7736964407,17666469032,5089099129,2489264589,745339309.7,20977190936,5184747649,37766403698,26868572808,239.757742,30.78659731,29.67332624,1.078616289
C-zcos_z1_472,0.025240792,0.977284284,0.026437496,3.236356,0.97090685,7194991691,3315664374,8220503196,2160162976,1209724560,330999429.7,9829436861,2204564779,17024428552,12181368332,52.26752662,21.04589406,9.490394896,1.061303402
